taste,keyword_count,wine,ratingAVG,ratingCOUNT
vanilla,179694,467,4.4,18587454
smoke,75369,335,4.4,17157288
tobacco,171396,394,4.4,16397037
savory,10224,91,4.4,13977424
cinnamon,17940,170,4.4,13918221
clove,15435,144,4.4,12775854
jam,13440,120,4.5,12225159
almond,30450,87,4.5,11498940
leather,146500,424,4.4,11080968
mocha,11226,89,4.5,10809333
coffee,27722,252,4.4,10373850
black cherry,36884,292,4.4,10067440
mushroom,21754,204,4.4,9562724
cedar,46978,220,4.4,9351118
caramel,14982,156,4.5,8810680
prune,15538,172,4.4,8799670
dark chocolate,17776,174,4.4,8711534
nutmeg,3846,56,4.5,8462535
cocoa,11664,129,4.5,8362674
toast,24204,149,4.4,8320232
fig,7058,95,4.5,7310638
butter,22234,146,4.5,6602644
truffle,8390,103,4.5,6437138
oak,94712,562,4.4,6301770
espresso,3260,64,4.5,5790566
cherry,52845,433,4.4,5728977
plum,48070,390,4.4,5727665
chocolate,45136,374,4.4,5705377
earthy,34149,358,4.4,5593500
raspberry,17659,303,4.4,5358194
minerals,18073,295,4.4,5266948
red fruit,20204,311,4.4,5254719
blackberry,56308,366,4.4,5239606
pepper,20573,280,4.4,5191652
licorice,20670,298,4.4,5154341
black fruit,27511,294,4.4,4988055
strawberry,12558,248,4.4,4952059
dark fruit,22407,273,4.4,4890905
cream,15458,215,4.4,4785903
blackcurrant,24110,239,4.4,4781679
blueberry,14175,221,4.4,4644306
cassis,22914,201,4.4,4633318
tobacco leaf,1476,16,4.4,4584084
violet,7990,199,4.4,4485248
mint,6719,151,4.4,4239292
raisin,9963,151,4.4,4176072
cheese,4218,118,4.4,4165098
toffee,2436,45,4.5,3957600
red cherry,4736,143,4.4,3852109
sweet tobacco,1508,34,4.5,3751022
tar,6473,151,4.4,3610762
cigar,3474,86,4.5,3570727
cigar box,4836,88,4.5,3469548
forest floor,5518,108,4.4,3443390
balsamic,4123,127,4.4,3294476
graphite,7209,104,4.5,3289405
cranberry,2382,78,4.4,3166119
black plum,2237,75,4.4,3148019
eucalyptus,2775,86,4.5,3134931
perfume,2165,74,4.5,2991844
anise,1651,60,4.5,2973862
stone,4298,114,4.4,2922173
dried fruit,2390,70,4.5,2882793
menthol,1919,71,4.4,2692201
red currant,1597,56,4.4,2607946
baking spice,1772,60,4.5,2607857
orange,4527,80,4.5,2583952
charcoal,862,17,4.5,2435974
honey,19839,146,4.5,2419599
hazelnut,4170,46,4.5,2286324
game,1211,44,4.5,2285854
lavender,1232,53,4.5,2282002
marzipan,2613,21,4.5,2207268
dried herbs,1145,47,4.4,2163503
cola,776,21,4.5,1970000
white pepper,1028,45,4.4,1912955
apple,13037,117,4.4,1901388
bramble,781,37,4.4,1893928
bell pepper,1068,32,4.5,1765735
citrus,16938,123,4.5,1754280
pencil shavings,1750,31,4.4,1693266
iron,785,26,4.5,1617079
nutty,3436,67,4.5,1530136
grass,693,32,4.4,1522694
brioche,24886,57,4.5,1520502
milk chocolate,475,25,4.5,1493692
pencil lead,819,20,4.5,1453857
lemon curd,1296,16,4.5,1408494
red plum,503,25,4.4,1379092
ripe blackberry,389,19,4.5,1376113
coconut,906,32,4.5,1352395
brown sugar,592,12,4.5,1351438
tomato,617,25,4.4,1323095
apricot,9778,93,4.4,1318114
banana,812,17,4.4,1306642
sandalwood,486,21,4.5,1285297
allspice,189,4,4.5,1262418
ginger,2948,31,4.5,1221910
sour cherry,765,25,4.4,1217071
lemon,8707,101,4.4,1216837
black olive,619,30,4.5,1168923
oil,875,38,4.5,1146164
ash,222,8,4.5,1144750
walnut,710,31,4.5,1128886
rosemary,360,18,4.5,1092670
thyme,441,25,4.5,1082734
incense,322,9,4.5,1067258
chalk,1054,37,4.5,1051378
stone fruit,1129,42,4.5,1044352
pomegranate,360,18,4.4,1015890
orange peel,1647,35,4.5,1007463
peach,8826,95,4.4,1002133
hay,429,22,4.4,961057
mulberry,354,22,4.4,950584
sage,423,21,4.5,938679
pear,7732,89,4.4,923140
tropical,2915,65,4.4,911981
dried fig,343,13,4.5,901368
pineapple,3731,74,4.4,869112
green bell pepper,317,17,4.5,833279
grapefruit,3109,53,4.5,826916
lime,2355,55,4.5,799706
green apple,4707,62,4.5,789994
melon,1387,45,4.4,778501
blackberry jam,260,13,4.5,738701
boysenberry,287,14,4.5,683268
straw,1119,35,4.5,672330
butterscotch,593,20,4.5,669962
marmalade,2491,21,4.5,669321
black raspberry,173,10,4.5,659043
honeysuckle,1362,37,4.5,651067
lemon zest,810,28,4.5,644766
yeast,3518,36,4.5,623160
rose petal,487,27,4.4,593787
yellow apple,824,28,4.5,562179
saline,394,21,4.5,561855
vanilla bean,86,3,4.6,561062
mango,1302,31,4.4,544483
white peach,526,22,4.5,541246
biscuit,1851,26,4.5,532627
dried flowers,120,8,4.5,530080
quince,629,20,4.5,512617
pastry,795,22,4.5,507806
dried apricot,1926,26,4.5,498471
dill,332,6,4.5,490788
tangerine,405,16,4.5,490565
baked apple,554,20,4.5,482979
flint,695,24,4.5,460963
acacia,352,16,4.5,456214
nectarine,308,12,4.5,434616
orange zest,332,11,4.5,407996
black licorice,128,6,4.5,400918
lemon peel,259,13,4.5,390776
dried rose,291,18,4.5,380206
lychee,484,19,4.4,378554
toasted almond,295,11,4.5,377725
rhubarb,96,6,4.4,377636
green herbs,62,5,4.4,376721
roasted almond,192,10,4.6,367060
salt,239,12,4.5,366058
slate,94,6,4.5,359104
fresh bread,88,2,4.6,349780
orange blossom,206,10,4.5,346319
gooseberry,367,14,4.5,345226
elderflower,197,11,4.5,336342
tomato leaf,58,4,4.5,335914
toasted bread,283,7,4.5,327421
chestnut,58,3,4.5,326064
cured meat,108,3,4.4,323884
underbrush,67,4,4.5,316609
chard,399,10,4.5,308235
passion fruit,210,9,4.5,294762
black truffle,48,4,4.5,291357
bruised apple,136,8,4.5,286376
jasmine,160,7,4.5,282224
honeycomb,313,6,4.5,275997
molasses,150,9,4.5,267584
fennel,42,3,4.5,260266
dried cranberry,63,3,4.4,258239
yogurt,42,3,4.5,256241
maple syrup,76,4,4.5,251812
asparagus,49,3,4.5,247681
petroleum,241,7,4.5,237418
toasted nuts,58,4,4.6,234264
blood orange,82,4,4.5,231051
creme brulee,71,3,4.5,227035
exotic spice,38,3,4.5,224965
papaya,77,5,4.5,221916
guava,85,4,4.5,220534
yellow plum,41,3,4.6,199536
citrus zest,51,3,4.5,197067
pipe tobacco,25,2,4.5,190842
potpourri,32,2,4.6,187653
star anise,25,2,4.5,182244
musk,52,4,4.5,180387
lime zest,37,2,4.6,174890
mandarin orange,24,2,4.5,169618
cherry cola,25,2,4.5,169475
meyer lemon,29,2,4.5,165071
new leather,33,2,4.5,164031
roasted hazelnut,35,2,4.6,163295
bing cherry,18,1,4.6,157944
black raisin,11,1,4.6,157944
cotton candy,12,1,4.6,157944
dried strawberry,22,1,4.3,155030
wild strawberry,194,6,4.5,154975
asian pear,11,1,4.6,146377
gun smoke,26,1,4.6,146377
pie crust,18,1,4.6,146377
rubber,14,1,4.6,146377
sourdough,22,1,4.6,146377
bay leaf,28,2,4.5,143270
oregano,16,1,4.5,142513
gingerbread,139,5,4.5,135309
apricot jam,166,6,4.5,131774
beeswax,213,7,4.4,122944
wax,174,7,4.4,118067
dried leaves,54,1,4.3,106872
blackcurrant jam,11,1,4.5,94289
burnt caramel,28,1,4.7,88252
chamomile,51,3,4.5,82694
fresh strawberry,75,2,4.4,81069
pink grapefruit,111,2,4.4,81069
watermelon,36,2,4.4,81069
golden raisin,43,3,4.5,76583
orange rind,43,3,4.5,74629
lilac,11,1,4.6,73615
dried mango,57,3,4.4,60848
smoked meats,26,2,4.5,47590
burnt sugar,13,1,4.7,44126
juniper,26,2,4.4,43743
aniseed,30,2,4.6,41682
roasted meat,14,1,4.4,38998
ripe strawberry,18,1,4.4,36681
crushed rocks,11,1,4.3,35624
bacon fat,57,4,4.5,35135
camphor,22,2,4.7,31898
candied ginger,25,2,4.4,30345
kiwi,34,2,4.4,27080
white cherry,13,1,4.4,23241
honeydew melon,13,1,4.3,18694
grilled meat,12,1,4.3,15298
olive tapenade,14,1,4.3,15298
rose hip,16,1,4.3,12663
lemon grass,12,1,4.4,8884
kerosene,39,2,4.5,7153
bitter almond,32,1,4.4,1842
hibiscus,11,1,4.5,1134
